ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,first_party,mp_name_2019,drought_day_change_2065,ann_rain_2019,max5day_rain_mm_change_2065,ann_rain_change_mmday_2065,warmest_dayofyear_change_oC_2065,ann_warming_oC_2065,number_heatwave_days_change_2065
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,Leo,Docherty,Male,Con,Leo Docherty,3.638911,0.105223,7.066687,-0.13719,7.148285,3.442124,24.14288
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,Wendy,Morton,Female,Con,Wendy Morton,3.037444,0.329104,3.703912,-0.13756,6.472108,3.307015,14.73432
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,Graham,Brady,Male,Con,Graham Brady,1.731089,0.314518,6.483709,0.007951,5.654493,3.12421,9.387861
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,Nigel,Mills,Male,Con,Nigel Mills,2.94768,0.54952,3.707779,-0.13329,6.686859,3.26616,13.85233
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,County,Andrew,Griffith,Male,Con,Andrew Griffith,2.716039,0.202569,13.32105,-0.03432,7.00645,3.393767,20.37715
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,County,Lee,Anderson,Male,Con,Lee Anderson,2.984486,0.256955,2.35278,-0.13096,6.603436,3.301361,15.54073
E14000536,E12000008,Ashford,Kent,South East,England,County,Damian,Green,Male,Con,Damian Green,3.322976,0.078823,8.681847,-0.12264,6.864335,3.375929,20.31976
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Borough,Angela,Rayner,Female,Lab,Angela Rayner,1.753162,0.426429,8.795093,0.045352,5.746796,3.193208,6.690165
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,County,Rob,Butler,Male,Con,Rob Butler,3.357834,0.037957,6.230839,-0.10821,6.875597,3.454801,19.5178
E14000539,E12000008,Banbury,Oxfordshire,South East,England,County,Victoria,Prentis,Female,Con,Victoria Prentis,3.324182,0.050403,6.228743,-0.11557,7.031926,3.374718,20.68109
E14000540,E12000007,Barking,London,London,England,Borough,Margaret,Hodge,Female,Lab,Margaret Hodge,3.184135,0.090815,8.176123,-0.08763,6.047495,3.479979,20.98699
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,Daniel,Jarvis,Male,Lab,Daniel Jarvis,3.077566,0.123262,3.418766,-0.11444,6.450272,3.227631,13.63062
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,County,Stephanie,Peacock,Female,Lab,Stephanie Peacock,3.169662,0.107089,2.842661,-0.14154,6.402829,3.270064,12.25358
E14000543,E12000002,Barrow and Furness,Cumbria,North West,England,County,Simon,Fell,Male,Con,Simon Fell,0.645624,0.227178,27.05499,0.360963,5.388059,2.973985,3.80988
E14000544,E12000006,Basildon and Billericay,Essex,East,England,Borough,John,Baron,Male,Con,John Baron,3.628876,0.061206,5.842103,-0.10793,6.36064,3.429756,20.20056
E14000545,E12000008,Basingstoke,Hampshire,South East,England,Borough,Maria,Miller,Female,Con,Maria Miller,3.514656,0.133405,6.858187,-0.12386,7.228395,3.427947,22.4454
E14000546,E12000004,Bassetlaw,Nottinghamshire,East Midlands,England,County,Brendan,Clarke-Smith,Male,Con,Brendan Clarke-Smith,3.198599,0.081422,1.051939,-0.11548,6.591218,3.236145,17.61376
E14000547,E12000009,Bath,Avon,South West,England,Borough,Wera,Hobhouse,Female,LD,Wera Hobhouse,3.05026,0.139851,8.440238,-0.10766,7.091173,3.312749,19.40164
E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,Tracy,Brabin,Female,Lab,Tracy Brabin,3.135629,0.11524,3.09267,-0.13235,6.316886,3.212752,10.71389
E14000549,E12000007,Battersea,London,London,England,Borough,Marsha,De Cordova,Female,Lab,Marsha De Cordova,3.13213,0.042511,8.030806,-0.09377,6.216953,3.518713,22.71065
E14000550,E12000008,Beaconsfield,Buckinghamshire,South East,England,County,Joy,Morrissey,Female,Con,Joy Morrissey,3.353693,0.016819,6.50726,-0.10811,6.855317,3.477798,21.59754
E14000551,E12000007,Beckenham,London,London,England,Borough,Bob,Stewart,Male,Con,Bob Stewart,3.389015,0.069695,8.036095,-0.11652,6.730537,3.473095,20.97636
E14000552,E12000006,Bedford,Bedfordshire,East,England,Borough,Mohammad,Yasin,Male,Lab,Mohammad Yasin,3.671099,0.115284,5.800185,-0.11272,7.117518,3.428906,23.23989
E14000553,E12000007,Bermondsey and Old Southwark,London,London,England,Borough,Neil,Coyle,Male,Lab,Neil Coyle,3.29532,0.096544,8.17703,-0.09819,6.269651,3.506455,21.78907
E14000554,E12000001,Berwick-Upon-Tweed,Northumberland,North East,England,County,Anne-Marie,Trevelyan,Female,Con,Anne-Marie Trevelyan,3.121413,0.124799,2.248122,-0.16709,5.408867,2.969767,3.522042
E14000555,E12000007,Bethnal Green and Bow,London,London,England,Borough,Rushanara,Ali,Female,Lab,Rushanara Ali,2.978216,0.079335,8.196966,-0.07661,5.926891,3.505979,23.01896
E14000556,E12000003,Beverley and Holderness,Humberside,Yorkshire and The Humber,England,County,Graham,Stuart,Male,Con,Graham Stuart,3.128212,0.079012,0.609041,-0.10148,5.867665,3.117233,10.85013
E14000557,E12000008,Bexhill and Battle,East Sussex,South East,England,County,Huw,Merriman,Male,Con,Huw Merriman,3.017148,0.192926,9.88969,-0.09334,6.812013,3.395956,19.81399
E14000558,E12000007,Bexleyheath and Crayford,London,London,England,Borough,David,Evennett,Male,Con,David Evennett,3.564755,0.079226,7.871071,-0.11299,6.448222,3.457554,21.73372
E14000559,E12000002,Birkenhead,Merseyside,North West,England,Borough,Mick,Whitley,Male,Lab,Mick Whitley,2.158817,0.237725,12.0616,-0.04903,4.958729,2.994506,6.607871
E14000560,E12000005,"Birmingham, Edgbaston",West Midlands,West Midlands,England,Borough,Preet Kaur,Gill,Female,Lab,Preet Kaur Gill,3.185203,0.286974,5.886852,-0.13331,6.738371,3.345298,15.75079
E14000561,E12000005,"Birmingham, Erdington",West Midlands,West Midlands,England,Borough,Jack,Dromey,Male,Lab,Jack Dromey,3.156581,0.232553,5.660405,-0.13417,6.732811,3.318746,16.45188
E14000562,E12000005,"Birmingham, Hall Green",West Midlands,West Midlands,England,Borough,Tahir,Ali,Male,Lab,Tahir Ali,3.177552,0.255436,6.095442,-0.12755,6.841356,3.3357,17.10964
E14000563,E12000005,"Birmingham, Hodge Hill",West Midlands,West Midlands,England,Borough,Liam,Byrne,Male,Lab,Liam Byrne,3.177552,0.255436,6.095442,-0.12755,6.841356,3.3357,17.10964
E14000564,E12000005,"Birmingham, Ladywood",West Midlands,West Midlands,England,Borough,Shabana,Mahmood,Female,Lab,Shabana Mahmood,3.185203,0.286974,5.886852,-0.13331,6.738371,3.345298,15.75079
E14000565,E12000005,"Birmingham, Northfield",West Midlands,West Midlands,England,Borough,Gary,Sambrook,Male,Con,Gary Sambrook,3.185203,0.286974,5.886852,-0.13331,6.738371,3.345298,15.75079
E14000566,E12000005,"Birmingham, Perry Barr",West Midlands,West Midlands,England,Borough,Khalid,Mahmood,Male,Lab,Khalid Mahmood,3.074954,0.287646,4.834902,-0.13889,6.45508,3.344326,14.60041
E14000567,E12000005,"Birmingham, Selly Oak",West Midlands,West Midlands,England,Borough,Stephen,McCabe,Male,Lab,Stephen McCabe,3.185203,0.286974,5.886852,-0.13331,6.738371,3.345298,15.75079
E14000568,E12000005,"Birmingham, Yardley",West Midlands,West Midlands,England,Borough,Jess,Phillips,Female,Lab,Jess Phillips,3.177552,0.255436,6.095442,-0.12755,6.841356,3.3357,17.10964
E14000569,E12000001,Bishop Auckland,Durham,North East,England,County,Dehenna,Davison,Female,Con,Dehenna Davison,3.238259,0.115648,3.658112,-0.19584,5.790799,3.109134,3.699465
E14000570,E12000002,Blackburn,Lancashire,North West,England,Borough,Kate,Hollern,Female,Lab,Kate Hollern,1.697147,0.352141,11.97762,0.101248,5.541828,3.065754,5.447559
E14000571,E12000002,Blackley and Broughton,Greater Manchester,North West,England,Borough,Graham,Stringer,Male,Lab,Graham Stringer,1.753162,0.426429,8.795093,0.045352,5.746796,3.193208,6.690165
E14000572,E12000002,Blackpool North and Cleveleys,Lancashire,North West,England,Borough,Paul,Maynard,Male,Con,Paul Maynard,1.340968,0.212241,12.82343,0.125529,5.465963,2.960785,5.510266
E14000573,E12000002,Blackpool South,Lancashire,North West,England,Borough,Scott,Benton,Male,Con,Scott Benton,1.340968,0.212241,12.82343,0.125529,5.465963,2.960785,5.510266
E14000574,E12000001,Blaydon,Tyne and Wear,North East,England,Borough,Liz,Twist,Female,Lab,Liz Twist,3.221494,0.086646,-0.41669,-0.14814,5.615889,3.050159,4.917758
E14000575,E12000001,Blyth Valley,Northumberland,North East,England,Borough,Ian,Levy,Male,Con,Ian Levy,3.100201,0.055257,1.227351,-0.13126,5.079277,2.983529,3.939169
E14000576,E12000008,Bognor Regis and Littlehampton,West Sussex,South East,England,County,Nick,Gibb,Male,Con,Nick Gibb,2.330845,-0.03114,16.6561,0.022435,6.31215,3.362556,17.20747
E14000577,E12000004,Bolsover,Derbyshire,East Midlands,England,County,Mark,Fletcher,Male,Con,Mark Fletcher,3.254978,0.255341,1.67565,-0.14654,6.586025,3.262684,15.12635
E14000578,E12000002,Bolton North East,Greater Manchester,North West,England,Borough,Mark,Logan,Male,Con,Mark Logan,1.779082,0.546167,10.85264,0.059209,5.556936,3.155173,5.708832
E14000579,E12000002,Bolton South East,Greater Manchester,North West,England,Borough,Yasmin,Qureshi,Female,Lab,Yasmin Qureshi,1.625269,0.372689,8.64094,0.049331,5.457702,3.152782,7.395435
E14000580,E12000002,Bolton West,Greater Manchester,North West,England,County,Chris,Green,Male,Con,Chris Green,1.692349,0.479694,10.18834,0.063626,5.587209,3.096364,6.300316
E14000581,E12000002,Bootle,Merseyside,North West,England,Borough,Peter,Dowd,Male,Lab,Peter Dowd,1.928705,0.206509,10.42871,-0.02204,5.00985,3.042784,6.31014
E14000582,E12000004,Boston and Skegness,Lincolnshire,East Midlands,England,County,Matt,Warman,Male,Con,Matt Warman,3.02089,0.074627,2.269254,-0.108,6.285492,3.221078,16.28668
E14000583,E12000004,Bosworth,Leicestershire,East Midlands,England,County,Luke,Evans,Male,Con,Luke Evans,3.180299,0.165811,5.026901,-0.11302,6.823557,3.308971,18.06377
E14000584,E12000009,Bournemouth East,Dorset,South West,England,Borough,Tobias,Ellwood,Male,Con,Tobias Ellwood,2.97238,0.152678,11.13335,-0.0724,7.053478,3.373568,20.56947
E14000585,E12000009,Bournemouth West,Dorset,South West,England,Borough,Conor,Burns,Male,Con,Conor Burns,2.932414,0.209304,12.03612,-0.07596,6.589771,3.318925,18.37422
E14000586,E12000008,Bracknell,Berkshire,South East,England,County,James,Sunderland,Male,Con,James Sunderland,3.68525,0.09311,5.730649,-0.12816,7.071991,3.456933,24.4182
E14000587,E12000003,Bradford East,West Yorkshire,Yorkshire and The Humber,England,Borough,Imran,Hussain,Male,Lab,Imran Hussain,3.073954,0.156085,2.972578,-0.14765,5.850445,3.205293,7.465912
E14000588,E12000003,Bradford South,West Yorkshire,Yorkshire and The Humber,England,Borough,Judith,Cummins,Female,Lab,Judith Cummins,3.100355,0.153212,3.290776,-0.1525,6.177424,3.209154,7.815702
E14000589,E12000003,Bradford West,West Yorkshire,Yorkshire and The Humber,England,Borough,Naz,Shah,Female,Lab,Naz Shah,3.073954,0.156085,2.972578,-0.14765,5.850445,3.205293,7.465912
E14000590,E12000006,Braintree,Essex,East,England,County,James,Cleverly,Male,Con,James Cleverly,3.348565,0.080881,6.375075,-0.09235,6.977246,3.412826,23.08274
E14000591,E12000007,Brent Central,London,London,England,Borough,Dawn,Butler,Female,Lab,Dawn Butler,2.933853,0.073816,8.553167,-0.07129,6.048587,3.528239,23.848
E14000592,E12000007,Brent North,London,London,England,Borough,Barry,Gardiner,Male,Lab,Barry Gardiner,2.933853,0.073816,8.553167,-0.07129,6.048587,3.528239,23.848
E14000593,E12000007,Brentford and Isleworth,London,London,England,Borough,Ruth,Cadbury,Female,Lab,Ruth Cadbury,3.13213,0.042511,8.030806,-0.09377,6.216953,3.518713,22.71065
E14000594,E12000006,Brentwood and Ongar,Essex,East,England,County,Alex,Burghart,Male,Con,Alex Burghart,3.504718,0.047969,7.154468,-0.09549,6.684875,3.442681,22.17348
E14000595,E12000009,Bridgwater and West Somerset,Somerset,South West,England,County,Ian,Liddell-Grainger,Male,Con,Ian Liddell-Grainger,3.698015,0.212532,5.122633,-0.20369,6.623796,3.16977,13.93714
E14000596,E12000003,Brigg and Goole,Humberside,Yorkshire and The Humber,England,County,Andrew,Percy,Male,Con,Andrew Percy,2.773766,0.100622,2.284711,-0.07726,6.361727,3.195754,17.16524
E14000597,E12000008,"Brighton, Kemptown",East Sussex,South East,England,Borough,Lloyd,Russell-Moyle,Male,Lab,Lloyd Russell-Moyle,2.437659,0.273695,15.63948,0.019328,6.035074,3.390222,16.25666
E14000598,E12000008,"Brighton, Pavilion",East Sussex,South East,England,Borough,Caroline,Lucas,Female,Green,Caroline Lucas,2.503013,0.3037,14.50231,-0.01182,6.995211,3.397428,19.01026
E14000599,E12000009,Bristol East,Avon,South West,England,Borough,Kerry,McCarthy,Female,Lab,Kerry McCarthy,2.82191,0.185354,7.730175,-0.08412,6.926045,3.311032,17.72677
E14000600,E12000009,Bristol North West,Avon,South West,England,Borough,Darren,Jones,Male,Lab,Darren Jones,2.775818,0.179036,12.13198,-0.06516,6.067389,3.250413,15.14985
E14000601,E12000009,Bristol South,Avon,South West,England,Borough,Karin,Smyth,Female,Lab,Karin Smyth,2.821287,0.194308,8.422716,-0.0864,6.612005,3.291357,16.39798
E14000602,E12000009,Bristol West,Avon,South West,England,Borough,Thangam,Debbonaire,Female,Lab,Thangam Debbonaire,2.821287,0.194308,8.422716,-0.0864,6.612005,3.291357,16.39798
E14000603,E12000006,Broadland,Norfolk,East,England,County,Jerome,Mayhew,Male,Con,Jerome Mayhew,3.523643,0.075916,3.31907,-0.12404,6.211637,3.214924,14.50238
E14000604,E12000007,Bromley and Chislehurst,London,London,England,Borough,Robert,Neill,Male,Con,Robert Neill,3.564755,0.079226,7.871071,-0.11299,6.448222,3.457554,21.73372
E14000605,E12000005,Bromsgrove,Hereford and Worcester,West Midlands,England,County,Sajid,Javid,Male,Con,Sajid Javid,3.266368,0.204019,5.811421,-0.11907,6.94835,3.32331,18.48088
E14000606,E12000006,Broxbourne,Hertfordshire,East,England,Borough,Charles,Walker,Male,Con,Charles Walker,3.262812,0.048128,6.894906,-0.08839,6.53342,3.465224,21.8716
E14000607,E12000004,Broxtowe,Nottinghamshire,East Midlands,England,County,Darren,Henry,Male,Con,Darren Henry,3.01222,0.143926,2.465821,-0.12062,6.692662,3.304031,16.89192
E14000608,E12000008,Buckingham,Buckinghamshire,South East,England,County,Greg,Smith,Male,Con,Greg Smith,3.290848,0.091033,6.129659,-0.1021,7.071571,3.416155,21.85177
E14000609,E12000002,Burnley,Lancashire,North West,England,Borough,Antony,Higginbotham,Male,Con,Antony Higginbotham,2.563872,0.317803,8.54311,-0.06291,5.90972,3.152095,5.22755
E14000610,E12000005,Burton,Staffordshire,West Midlands,England,County,Kate,Griffiths,Female,Con,Kate Griffiths,2.957589,0.175803,3.42359,-0.11912,6.797943,3.242528,15.59198
E14000611,E12000002,Bury North,Greater Manchester,North West,England,Borough,James,Daly,Male,Con,James Daly,1.779082,0.546167,10.85264,0.059209,5.556936,3.155173,5.708832
E14000612,E12000002,Bury South,Greater Manchester,North West,England,Borough,Christian,Wakeford,Male,Con,Christian Wakeford,1.625269,0.372689,8.64094,0.049331,5.457702,3.152782,7.395435
E14000613,E12000006,Bury St Edmunds,Suffolk,East,England,County,Jo,Churchill,Female,Con,Jo Churchill,3.450014,0.056851,6.040862,-0.10562,6.814499,3.37003,21.25957
E14000614,E12000003,Calder Valley,West Yorkshire,Yorkshire and The Humber,England,County,Craig,Whittaker,Male,Con,Craig Whittaker,2.862998,0.236684,5.899487,-0.11599,6.060221,3.183544,6.375091
E14000615,E12000007,Camberwell and Peckham,London,London,England,Borough,Harriet,Harman,Female,Lab,Harriet Harman,3.29532,0.096544,8.17703,-0.09819,6.269651,3.506455,21.78907
E14000616,E12000009,Camborne and Redruth,Cornwall,South West,England,County,George,Eustice,Male,Con,George Eustice,2.990089,0.153846,9.618463,-0.14091,6.029502,2.935028,7.97647
E14000617,E12000006,Cambridge,Cambridgeshire,East,England,Borough,Daniel,Zeichner,Male,Lab,Daniel Zeichner,3.583555,0.101751,5.714071,-0.10586,6.978139,3.418952,23.86557
E14000618,E12000005,Cannock Chase,Staffordshire,West Midlands,England,County,Amanda,Milling,Female,Con,Amanda Milling,3.072759,0.297572,3.39343,-0.13557,6.570071,3.277278,15.13991
E14000619,E12000008,Canterbury,Kent,South East,England,County,Rosemary,Duffield,Female,Lab,Rosemary Duffield,3.663533,0.057045,6.472893,-0.15006,5.987545,3.328366,17.15089
E14000620,E12000002,Carlisle,Cumbria,North West,England,County,John,Stevenson,Male,Con,John Stevenson,1.231113,0.09139,12.74388,0.107815,5.47667,2.909259,5.307768
